A_label,B_label,dF1_mean,dF1_CI_low,dF1_CI_high,dF1_p,dP_mean,dP_CI_low,dP_CI_high,dP_p,dR_mean,dR_CI_low,dR_CI_high,dR_p,N_images,B,seed
FreeForm,Template,0.0440664125665715,-0.01701672489791173,0.10107295585953477,0.1476,0.01581628331290391,-0.04061818931275613,0.06951148830412746,0.5778,0.05022822199263095,-0.021662611834876867,0.11806491647221784,0.1696,42,10000,42
FreeForm,Hybrid,0.028929596338312602,-0.007751422083593412,0.06534765139457413,0.1232,-0.04711884791884477,-0.08958980684415524,-0.012278914049832855,0.0022,0.05094846984295392,0.010713451268357774,0.09278459263125842,0.014,43,10000,42
Template,Hybrid,-0.003841997569626817,-0.06842171401153108,0.06573449742707989,0.888,-0.06385914341685212,-0.10634915370601399,-0.02103810509784065,0.0014,0.015596218321207462,-0.06144086903053899,0.1010407116436407,0.7424,42,10000,42
