dF1,dP,dR
-0.006155927617114809,-0.06954907741019767,0.01752021563342321
0.04567418790579336,-0.021606482519855308,0.05889724310776945
0.0035836368427322185,-0.034007352941176405,0.012804097311139573
0.05968565968565975,-0.033329654563514,0.08440797186400939
0.05250832725461452,-0.044234291994870945,0.078031212484994
-0.0009391027956366926,-0.09458149063657817,0.04133545310015896
0.02185286253755636,-0.04256137996368514,0.03869407496977029
0.02532667584086501,-0.0544303797468354,0.05218617771509171
0.05909857255254569,-0.013558201058201047,0.07894736842105265
0.015461188731341835,-0.06920260912606047,0.041825095057034245
0.009715932132855154,-0.06378968088478165,0.031413612565445004
0.02628752641054788,-0.11155344113587062,0.08566721581548598
0.03237996771709206,-0.05704292727301241,0.05968169761273212
0.034096743941303576,-0.041789777551366925,0.053385416666666685
0.039960492134798686,-0.05366459627329201,0.06349206349206354
0.012366316891905593,-0.06694142625202948,0.03918918918918912
0.046053648677897185,-0.034892217756667954,0.07085561497326198
0.023351976038381017,-0.07813821873450211,0.05348258706467657
0.02537807813159787,-0.052202380248897895,0.04971590909090906
0.06132276128510372,-0.029132894938063925,0.0808909730363423
0.039496005675333956,-0.03707420996567645,0.06226175349428209
0.04200434726280777,-0.05346412212823948,0.07751937984496127
0.03058454945751643,-0.03741334306323507,0.05167597765363119
-0.005218216318785607,-0.0869301195814648,0.0328947368421052
0.024846359218840597,-0.01438043663653421,0.0337078651685393
0.012382383102747196,-0.0569284308211474,0.032710280373831724
0.03982853985268153,-0.052795284590014036,0.07259073842302877
0.035826892004017674,-0.04777219762004903,0.05465116279069765
0.04964618976769253,-0.029326334208223948,0.06573957016434889
0.03494731225823644,-0.02179496864848529,0.046119235095613
0.04035106775868447,-0.032092198581560316,0.05584415584415581
0.022823118776306495,-0.05378495112525572,0.04069767441860472
0.017780947287098003,-0.032860726996907674,0.03576751117734722
0.02201150666954732,-0.07560710402319681,0.05211267605633807
-0.022113811112909443,-0.09942982456140348,0.01225114854517606
0.034328891896000635,-0.0567333035967722,0.06098964326812428
0.0259728005890425,-0.062554901411083,0.053779069767441845
-0.0027466398973844397,-0.10972540045766588,0.04141104294478537
0.024753439250409404,-0.018044413691698957,0.031425364758698116
0.011356224822559047,-0.031812725090035965,0.023622047244094557
0.05201365187713314,-0.0801479828859486,0.08433734939759036
0.0474445867411879,-0.05647424781450561,0.06708595387840671
0.038245438362260686,-0.026098645730547654,0.052631578947368474
0.04407574995810282,-0.03614631336405527,0.061659192825112064
0.03495238261456379,-0.0357944078647382,0.05344418052256533
0.006667931430698659,-0.04039229504345776,0.01950585175552666
0.01484094982078854,-0.1039322713601426,0.04935064935064937
0.05336957441104673,-0.017909332630144825,0.056918547595682045
0.02722354807630123,-0.01580413151633131,0.03264812575574366
0.03862475322703118,-0.03465727751799896,0.05867970660146704
0.023769500222925677,-0.046670867673254346,0.05217391304347829
0.03803435638259145,-0.03554099951479861,0.05231866825208087
0.01382961351673373,-0.028872688988498707,0.025445292620865145
